Gender,Track,ParentalEducation,MathScore,ReadingScore,WritingScore
Female,Track A,Associate's Degree,98,66,93
Male,Track A,High School,97,82,98
Female,Track B,High School,67,86,99
Female,Track C,Associate's Degree,91,91,93
Female,Track B,Associate's Degree,97,72,89
Female,Track C,Associate's Degree,70,85,80
Female,Track C,High School,83,52,76
Male,Track C,High School,54,72,83
Female,Track A,Associate's Degree,63,56,75
Female,Track C,Bachelor's Degree,79,61,94
Male,Track B,Bachelor's Degree,70,67,89
Female,Track A,Associate's Degree,89,59,52
Male,Track C,Associate's Degree,85,61,93
Female,Track B,Associate's Degree,86,82,64
Male,Track C,Bachelor's Degree,85,78,52
Female,Track B,Bachelor's Degree,98,68,86
Male,Track B,High School,83,93,63
Female,Track C,Bachelor's Degree,81,84,77
Female,Track C,High School,50,92,63
Male,Track A,Associate's Degree,74,79,75
Male,Track B,High School,61,79,76
Female,Track B,High School,84,75,51
Female,Track A,Associate's Degree,61,64,95
Male,Track C,Associate's Degree,52,73,75
Male,Track C,Associate's Degree,86,69,77
Male,Track C,High School,76,87,52
Female,Track A,Bachelor's Degree,53,89,87
Female,Track C,Associate's Degree,58,78,79
Female,Track C,Bachelor's Degree,92,75,87
Female,Track C,Associate's Degree,51,51,76
Female,Track C,Bachelor's Degree,80,57,83
Male,Track B,Bachelor's Degree,70,52,57
Female,Track B,Associate's Degree,92,94,85
Female,Track C,Bachelor's Degree,80,98,68
Female,Track A,High School,95,95,92
Female,Track C,High School,75,71,72
Female,Track A,High School,76,84,96
Female,Track B,Associate's Degree,60,92,59
Male,Track C,Associate's Degree,72,90,87
Male,Track B,High School,60,73,68
Female,Track C,Associate's Degree,63,54,73
Female,Track C,High School,87,63,62
Female,Track A,Bachelor's Degree,75,72,78
Female,Track B,Associate's Degree,61,96,74
Female,Track B,High School,92,84,69
Male,Track C,Associate's Degree,54,93,67
Male,Track C,High School,86,79,99
Female,Track B,Bachelor's Degree,58,55,81
Male,Track B,Associate's Degree,66,68,73
Male,Track B,High School,67,72,93
Female,Track C,Associate's Degree,58,62,95
Male,Track A,High School,99,60,99
Female,Track A,Bachelor's Degree,73,58,98
Male,Track B,Associate's Degree,54,78,61
Female,Track B,Associate's Degree,60,51,68
Female,Track C,High School,72,85,87
Male,Track C,Bachelor's Degree,73,72,90
Male,Track A,Associate's Degree,70,61,54
Male,Track C,High School,77,92,60
Male,Track B,High School,75,79,75
Female,Track B,Bachelor's Degree,90,69,50
Male,Track C,Bachelor's Degree,98,89,67
Female,Track C,Bachelor's Degree,88,67,60
Female,Track A,Bachelor's Degree,66,79,74
Male,Track B,Bachelor's Degree,96,92,56
Male,Track B,High School,78,60,77
Female,Track A,Associate's Degree,90,66,87
Female,Track C,High School,53,61,91
Male,Track B,Bachelor's Degree,61,97,60
Female,Track C,Associate's Degree,95,94,71
Female,Track A,Associate's Degree,82,65,69
Male,Track A,Bachelor's Degree,81,80,77
Male,Track A,Bachelor's Degree,67,89,70
Female,Track A,Bachelor's Degree,79,95,76
Male,Track C,Bachelor's Degree,81,85,50
Male,Track A,High School,73,83,65
Male,Track B,Bachelor's Degree,66,94,85
Female,Track C,Associate's Degree,52,62,51
Female,Track B,Associate's Degree,57,73,67
Female,Track A,Associate's Degree,98,78,86
Female,Track B,Associate's Degree,77,92,95
Female,Track A,Associate's Degree,91,67,62
Female,Track C,High School,58,75,92
Male,Track B,Bachelor's Degree,82,88,92
Female,Track A,Associate's Degree,68,54,72
Male,Track B,Bachelor's Degree,83,90,68
Male,Track B,Associate's Degree,78,65,72
Female,Track B,Associate's Degree,57,57,68
Female,Track C,High School,89,75,96
Male,Track B,Associate's Degree,95,79,83
Female,Track B,Associate's Degree,95,85,64
Male,Track C,Bachelor's Degree,95,77,71
Male,Track A,Bachelor's Degree,93,94,76
Female,Track A,Associate's Degree,90,77,97
Male,Track C,Associate's Degree,58,84,96
Female,Track A,Associate's Degree,68,64,66
Male,Track A,Associate's Degree,86,83,73
Male,Track C,Bachelor's Degree,95,97,91
Female,Track C,Associate's Degree,60,79,51
Male,Track A,High School,89,82,66
